name,description,genres
Парк Юрского периода,"Экспансивный богач и профессор уговаривает двух палеонтологов приехать на остров у побережья Коста-Рики, где он устроил парк Юрского периода. Парк населен давно вымершими динозаврами, воссозданными профессором по образцам крови из ископаемого комара, которые должны стать гвоздем программы нового аттракциона. До открытия остается несколько дней, а один из сотрудников, пытаясь украсть бесценные эмбрионы, нарушает систему охраны, что вместе с грозовым ливнем приводит к отключению электричества и защитных барьеров. Как раз в тот момент, когда палеонтологи с внуками профессора отправились на пробную экскурсию.","приключения, фантастика, семейный"
"Красивый, плохой, злой","Тэд — неотразимый красавец, устоять перед таким невозможно. Очаровательная Лиз и не устояла. Свидание на одну ночь переросло в долгие замечательные отношения, о которых большинство девушек только и мечтает. Внезапно Тэда арестовали, предъявив ему чудовищные обвинения. Но как можно поверить, что этот нежный умный элегантный мужчина мог насиловать, убивать и расчленять несчастных женщин?! Ее родной и милый Тэд. Тэд Банди.","триллер, драма, криминал, биография"
Платформа,"Горен соглашается на участие в некоем эксперименте и вскоре приходит в себя в почти пустой комнате уровня 48, где имеются большие прямоугольные отверстия в полу и потолке. На каждом уровне находятся два человека, а сколько всего уровней — неизвестно. Этажи связывает общий колодец, по которому раз в день опускается платформа с едой, и чем ниже находятся люди, тем меньше у них шансов поесть. Каждый месяц происходит рокировка, и обитатели верхних уровней могут оказаться в самом низу, и наоборот. Поскольку разрешалось взять с собой один предмет, Горен выбрал томик «Дон Кихота», а его сосед прихватил большой самозатачивающийся нож.","фантастика, триллер, драма"
Шазам!,"Благодаря древнему волшебнику 14-летний парень превращается во вполне себе взрослого супергероя Шазама. В душе он остается ребенком, поэтому ведёт себя соответствующе и оттягивается на полную катушку. А умеет ли он летать? А есть ли у него рентгеновское зрение? Может ли он стрелять молниями из рук? А может ли пропустить контрольную по обществознанию? Шазам проверяет границы своих возможностей с бесшабашностью расшалившегося ребенка, но вскоре ему придётся обрести контроль над своими способностями, чтобы сразиться со смертоносными силами зла доктора Таддеуса Сиваны.","фэнтези, боевик, комедия"
Мумия,"Посреди безжалостной пустыни в величественном саркофаге погребена дочь египетского фараона, но настанет день, и она явится в наш мир вернуть себе то, что принадлежит ей по праву. Отныне миром правят боги и монстры.","ужасы, фэнтези, боевик, триллер, приключения"
Звук свободы,"Оперативник Министерства внутренней безопасности Тим Баллард разочаровался в системе — много лет он выслеживал и ловил педофилов, но не вызволил из лап работорговцев ни одного ребёнка. Тим втирается в доверие к недавно пойманному распространителю детского порно, убеждает его, что он «свой», и вот уже из Мексики ему везут восьмилетнего мальчика. Маленький Мигель становится первым освобождённым из множества детей, проданных в сексуальное рабство в Латинской Америке, и Тим решает во что бы то ни стало разыскать его сестрёнку.","драма, криминал, триллер"
Звездный путь,"Когда Нерон с планеты Ромул приходит из будущего, чтобы отомстить Федерации, конкуренты Кирк и Спок должны объединиться, чтобы не дать ему разрушить все, что им дорого. Во время этого будоражащего путешествия, наполненного эффектными боями, юмором и космическими угрозами, новоиспеченные члены команды военного корабля «Энтерпрайз» смело встретятся лицом к лицу с невообразимыми опасностями.","фантастика, боевик, приключения"
Они сражались за Родину,"Июль 1942 года. На подступах к Сталинграду обескровленные, измотанные советские войска ведут тяжелые оборонительные бои, неся огромные потери... Фильм рассказывает о подвиге рядовых солдат, любви к родной земле, об истинной цене победы...","драма, военный"
Код Да Винчи,"Гарвардского профессора Роберта Лэнгдона подозревают в чудовищном преступлении, которого он не совершал. Лэнгдон знакомится с криптографом парижской полиции Софи Невё и вместе с ней пытается раскрыть тайну, которая может подорвать могущество католической церкви.","триллер, детектив"
Ночной дозор,"Ночью можно столкнуться с темными магами, вампирами и прочей нечистью. Но по следу «ночных охотников» идет Ночной Дозор. Его предназначение — сохранение равновесия между добром и злом, нарушение которого вызывает разрушения, войны, революции, вселенские катастрофы.","фэнтези, триллер, ужасы, боевик"
Армагеддон,"Тень гигантского астероида легла на Землю. До рокового столкновения остаются считанные дни. Наступает Армагеддон, трагический финал мировой истории. Чтобы предотвратить катастрофу, необходимо чудо - или совместные усилия лучших из лучших вместе с технологической мощью всего созданного человеком. Сможет ли горстка людей противостоять вселенской стихии?..","фантастика, приключения, боевик, триллер"
Петля времени,"В недалеком будущем, где стали возможны путешествия во времени, некая корпорация убирает нежелательных людей, отправляя их в прошлое. Задача принимающей стороны — убить жертву, стерев тем самым несчастного из истории.","фантастика, боевик, триллер, драма"
Берегись автомобиля,"Скромный страховой агент и актер театра самодеятельности Юрий Деточкин оказывается непримиримым борцом за справедливость. Он угоняет машины взяточников, продаёт их, а вырученные деньги перечисляет детским домам. Правда, для правосудия, представляемого актером того же театра, а в миру — следователем Подберёзовиковым, этот Робин Гуд представляется хитроумным, изобретательным и неуловимым преступником.","криминал, комедия, мелодрама"
Мальчишник 2: Из Вегаса в Бангкок,"В продолжении культовой комедии «Мальчишник в Вегасе» четверо друзей Фил, Стю, Алан и Даг отправляются в экзотический Тайланд на свадьбу Стю. После безумного мальчишника в Лас-Вегасе, они решают не испытывать судьбу во второй раз, а потому в Бангкоке планируют очень спокойное и безопасное празднество. Но как обычно, все идет совсем не по плану... Что происходит в Вегасе, остается в Вегасе. Но то, что происходит в Бангкоке – это просто настоящее безумие!",комедия
Свободные отношения,"История двух противоположностей, которые случайно встретились в питерском баре, провели вместе ночь, а затем были вынуждены пожениться из-за незапланированной беременности. Спустя семь лет герои понимают, что превратились в одну из тех семейных пар, которых заел быт, а совместная жизнь стала просто привычкой. Желая сохранить брак ради сына, супруги идут на отчаянную меру — предлагают дать друг другу немного свободы.","комедия, мелодрама"
Гарфилд,"Хозяин кота Гарфилда Джон приносит домой милого щенка Оди, и с этого момента жизнь Гарфилда идёт наперекосяк. Он хочет только одного — чтобы пёс навсегда исчез из его жизни и из его дома. Но когда внезапно щенка похищают, Гарфилд, возможно, впервые в жизни чувствует лежащую на нём ответственность. И начинает действовать.","комедия, семейный, фэнтези"
Метро,"Широко развернувшееся в центре Москвы строительство новых зданий приводит к тому, что в одном из тоннелей метро между двумя станциями возникает трещина. Никто себе и представить не мог, что в результате нарушения герметичности перекрытия в тоннель хлынет вода из Москва-реки, и сотни пассажиров поезда окажутся во власти надвигающегося потопа. Бешеный поток воды грозит не только обрушением тоннелей метро, но и разрушением всего города.

Среди попавших в беду людей – врач городской больницы Андрей Гарин и его дочь Ксюша. Гарин сражается с катастрофой, пытаясь спасти оставшихся в живых пассажиров, в компании любовника своей жены. Гарину придется побороть обиду, гнев и страх. Он должен выжить, чтобы вернуть свою любовь, семью… свою прежнюю счастливую жизнь.","триллер, драма"
Солнцепек,"Май 2014 года, Луганск. Та весна выдалась особенно жаркой. Время жить — любовь, счастье и планы на лето. И мечты, которым не суждено сбыться. Лето всё меняет — нечаянное ощущение безысходности и тревоги, неизбежно накрывающее с головой. Хрупкий мир на грани войны. Время, которое полностью перевернет жизнь многих людей.","драма, боевик"
Мгла,"Маленький городок накрывает сверхъестественный туман, отрезая людей от внешнего мира. Группе героев, оказавшихся в этот момент в супермаркете, приходится вступить в неравный бой с обитающими в тумане монстрами.","ужасы, триллер, фантастика"
Рэмпейдж,"Приматолог Дэвис Окойи предпочитает держаться подальше от людей и дружит с Джорджем, удивительно умным самцом гориллы, которого он воспитывал с самого рождения. Но вышедший из-под контроля генетический эксперимент превращает послушную обезьяну в яростного монстра. Более того, вскоре обнаруживается, что существуют и другие модифицированные хищники. Пока свежесозданные чудовища превращают в руины Северную Америку, стирая с лица Земли всё, что попадается им на пути, Окойи вместе с опальным генным инженером пытается изобрести антидот, прорываясь по бесконечному полю боя, не только чтобы предотвратить глобальную катастрофу, но и спасти бесстрашное существо, которое когда-то было его другом.","фантастика, боевик, приключения"
Гром: Трудное детство,Юный Игорь Гром ищет варианты срочно заработать большую сумму и ввязывается в сомнительную авантюру на пару с другом Игнатом. Тем временем его отец вместе с будущим начальником петербургской полиции Фёдором Прокопенко охотится за боссом криминального мира по прозвищу Анубис.,"приключения, боевик"
Волк и лев,"Юная пианистка Альма возвращается в дом, где прошло её детство. Однажды она находит маленьких волчонка и львёнка, которые оказались одни в дикой природе. Альма спасает их и втайне оставляет в своем доме. Они взрослеют вместе, и кажется, что их дружбу ничто не может разрушить. Но однажды их секрет раскрывают. Львенка ловят и отправляют в бродячий цирк, а волчонка забирают для исследований учёные. Теперь всем троим придётся отправиться в невероятное и опасное путешествие, чтобы вновь обрести семью.","драма, приключения, семейный"
Опасная игра Слоун,"Элизабет Слоун — самый востребованный и рисковый лоббист политического бизнеса США. Ловко ведя психологические игры и используя искусство манипуляции, она сражает оппонентов своей непредсказуемостью и никогда не проигрывает. Но когда она берется за самое сложное в своей карьере дело, то понимает, что цена победы может быть слишком высокой.","драма, криминал"
Дом у озера,"Кейт Форстер после расставания с парнем решает переехать, чтобы начать всё с чистого листа, а заодно быть ближе к работе. Она оставляет в почтовом ящике письмо для следующего жильца, объяснив некоторые нюансы. Новым съёмщиком оказывается Алекс Уайлер — одинокий архитектор, отец которого и построил этот прекрасный дом. Он читает послание, но не может понять, почему описанное Кейт не совпадает с действительностью. Это побуждает Алекса написать ответ. 

Через несколько дней переписки герои понимают, что живут в разное время: он в 2004 году, она — в 2006. И лишь загадочный почтовый ящик служит им соединяющим мостиком.","фэнтези, драма, мелодрама"
Олдбой,"1988 год. Обыкновенный и ничем непримечательный бизнесмен О Дэ-cу в день трёхлетия дочери по пути домой напивается, начинает хулиганить и закономерно попадает в полицейский участок. Из участка его под своё поручительство забирает друг детства. Пока тот звонит жене незадачливого пьяницы, О Дэ-су пропадает. Неизвестные похищают его и помещают в комнату без окон на 15 лет.","триллер, детектив, драма, криминал"
Воин,"Томми Конлон - молодой боец, вернувшийся домой после долгого отсутствия, чтобы приготовиться к участию в большом турнире. Отец-пьяница, в прошлом талантливый боксер, берется тренировать сына.","драма, спорт"
Эйс Вентура: Розыск домашних животных,"Он - лучший в своем деле, единственный и неповторимый! Он - Эйс Вентура, детектив по розыску домашних любимцев. Когда таинственные злоумышленники похищают дельфина по кличке Снежинка, талисман местной футбольной команды «Дельфины», Эйс тут же приступает к работе, проявляя чудеса изобретательности.

История принимает странный оборот, когда похищают еще и ведущего игрока «Дельфинов». Теперь Эйсу приходится разыскивать сразу двух млекопитающих. Он сталкивается нос к носу с акулой-людоедом, спасает любимую команду и очаровывает женщин. Находится ли он под прикрытием, под огнем или под водой, он обязательно найдет то, что ищет!","комедия, детектив, приключения"
Полночь в Париже,"Писатель и безнадежный романтик, уверенный в том, что должен был жить в 1920-е годы, приезжает в Париж со своей возлюбленной на каникулы и попадает в прошлое. Встречаясь там с Хемингуэем, Пикассо, супругами Фицджеральдами, Гертрудой Стайн, он понимает, что принадлежит этому времени и хочет остаться там навсегда.","фэнтези, мелодрама, комедия"
Большая игра,"После очередной травмы могулистка Молли Блум решает завязать со спортом и пожить обычной жизнью. Так получается, что девушка сначала работает хостесс на нелегальных покерных играх, а вскоре и сама становится организатором подпольного казино для знаменитостей, миллионеров, членов королевских семей и других любителей в мгновение ока спустить целое состояние.

","биография, криминал, драма"
Форсаж 8,"Гавана, Берлин, Нью-Йорк — для самой крутой команды в мире нет ничего невозможного, пока они вместе. Но когда на их пути оказывается красотка и по совместительству королева киберпреступности Сайфер, дороги друзей расходятся.","боевик, криминал, приключения"
Вселенная Стивена Хокинга,"История большой любви и больших открытий. Молодой студент-физик Стивен Хокинг знакомится с будущим искусствоведом Джейн Уайльд. Стивен подает большие надежды, профессора видят в нем будущее английской космологии. Веселые свидания, прогулки с друзьями, танцы в вечерних огнях и разговоры о физике, Боге и искусстве остаются в прошлом - Хокингу ставят страшный диагноз - болезнь Лу Герига. Его жизнь может оборваться через 2 года, но это не пугает Джейн.","биография, мелодрама, драма"
Притяжение,"…Как только что стало известно, сбитый над Москвой неопознанный объект имеет, возможно, внеземное происхождение. Большая часть столичного Чертанова оцеплена, к месту крушения стягиваются представители силовых структур, решается вопрос об эвакуации местных жителей. По словам нашего источника в Минобороны сейчас специальная комиссия пытается вступить в контакт с так называемыми «гостями». В эти минуты мы готовим экстренный выпуск новостей, и о развитии событий вы узнаете первыми…",фантастика
Анчартед: На картах не значится,"Нейтан Дрейк не видел старшего брата Сэма 15 лет, с тех пор как тот сбежал из сиротского приюта. Парень работает барменом и промышляет мелким воровством, когда на него выходит Виктор Салливан по прозвищу Салли и предлагает отправиться на поиски давно потерянных сокровищ Магеллана. Узнав, что Салли знаком с Сэмом, Нейтан соглашается на авантюру, надеясь также отыскать и брата.","приключения, боевик"
Убить Билла 2,"Убив двух человек из банды, Невеста лишь наполовину приблизилась к цели. Теперь на очереди Бад и Элли Драйвер. Еще два опасных шага перед последней схваткой, в которой она должна убить Билла.","боевик, триллер, криминал"
Жизнь других,"Сто тысяч сотрудников, двести тысяч информаторов. Вместе они — щит и меч партии, знаменитое Штази. Их метод — подозрение. Жизнь других — их профессия.

Популярный писатель и драматург Георг Драйман так бы и дожил до конца своих дней, обласканный вниманием благодарных читателей и абсолютно неинтересный для спецслужб, если бы не роман с известной театральной актрисой. Слишком известной, чтобы остаться незамеченной влиятельным чиновником из ЦК. Так в жизни Драймана появляются специалисты из Штази.","триллер, драма, детектив"
Покемон. Детектив Пикачу,"История начинается с таинственного исчезновения частного детектива Гарри Гудмана, расследовать которое предстоит его 21-летнему сыну Тиму. Помощь в расследовании ему окажет бывший партнер отца, болтливый детектив Пикачу, который является загадкой даже для себя самого. Обнаружив, что они каким-то фантастическим образом способны общаться друг с другом, Тим и Пикачу отправляются за уликами по неоновым улицам Райм Сити – современного разросшегося мегаполиса, где люди и покемоны живут бок о бок. Парочка встречают самых разнообразных покемонов и раскрывают ужасный заговор, который способен разрушить это мирное сосуществование и стать угрозой для всей вселенной покемонов.","фантастика, фэнтези, детектив, приключения, семейный"
Мортал Комбат,"Боец смешанных единоборств Коул Янг не раз соглашался проиграть за деньги. Он не знает о своем наследии и почему император Внешнего мира Шан Цзун посылает могущественного криомансера Саб-Зиро на охоту за Коулом. Янг боится за безопасность своей семьи, и майор спецназа Джакс, обладатель такой же отметки в виде дракона, как и у Коула, советует ему отправиться на поиски Сони Блейд. Вскоре Коул, Соня и наёмник Кано оказываются в храме Лорда Рейдена, Старшего Бога и защитника Земного царства, который дает убежище тем, кто носит метку. Здесь прибывшие тренируются с опытными воинами Лю Каном и Кун Лао, готовясь противостоять врагам из Внешнего мира, а для этого им нужно раскрыть в себе аркану — могущественную силу души.","боевик, фэнтези, фантастика"
Невероятные приключения итальянцев в России,"В одной из римских больниц скончалась русская эмигрантка. Старая дама, некогда эмигрировавшая из России, поведала своей внучке Ольге, что все ее огромное состояние спрятано в Ленинграде «под львом». Это обстоятельство явилось причиной срочного отлета в Ленинград всех тех, кто случайно или специально был посвящен в эту тайну.

В СССР прибыли солидный врач, итальянский мафиози, два санитара, просто горожанин и внучка Ольга. А в Москве к ним присоединился еще и гид, который усложнил и так непростые поиски сокровищ...","комедия, приключения, криминал"
Бёрдмэн,"В центре сюжета бывший актер, некогда сыгравший роль популярного супергероя Бёрдмэна, и теперь, переступая через свое эго, он решает принять участие в новой бродвейской постановке с целью вернуть себе былую славу, блеск и величие.","драма, комедия"
Реинкарнация,"После смерти матери в ранее спокойном доме Энни начинает твориться нечто необъяснимое. Теперь под угрозой жизнь её близких, и с каждым днём открываются новые ужасающие секреты семьи.","ужасы, драма, детектив"
Чебурашка. Выходной,"У Гены и Чебурашки наступил выходной. Но каждый хочет провести его по-своему: Гена мечтает отдохнуть с газетой и чашечкой чая, а Чебурашка ни минуты не может усидеть на месте.","короткометражка, семейный, комедия"
Как Витька Чеснок вёз Лёху Штыря в дом инвалидов,"27-летний Витька Чеснок — парень с детдомовским прошлым, который мечтает сбежать от мешающих ему жить жены и сына. Недолюбленный в детстве и очерствевший сердцем парень встречает отца-уголовника, а теперь ещё и калеку. Витька решает отвезти отца в дом инвалидов, не подозревая, какие приключения и опасности ждут их по дороге.","драма, комедия, криминал"
Дьявол в деталях,"Октябрь 1990 года. Уже немолодого заместителя окружного шерифа Джо Дикона по прозвищу Дики отправляют с мелким поручением в Лос-Анджелес. Именно тут пять лет назад он был уважаемым детективом, но одно расследование испортило ему жизнь и подорвало здоровье. Дики знакомится с молодым амбициозным коллегой Джимом Бэкстером, который ведёт дело об убийствах, подозрительно напоминающих те самые — нераскрытые пятилетней давности. Дики решает задержаться в командировке, на этот раз довести дело до конца и вычислить маньяка любой ценой.","детектив, криминал, триллер, драма"
Тренер,"Футболист национальной сборной Юрий Столешников в ответственный момент не забивает пенальти. После досадной ошибки Столешников покидает сборную, завершает карьеру и становится тренером маленькой провинциальной команды. Именно с этим клубом Столешникову предстоит совершить чудо и вновь поверить в себя.","драма, спорт"
Невероятный Халк,"История доктора Брюса Баннера, который ищет лекарство от своего необычного «заболевания», превращающего его во время эмоционального стресса в гигантского зеленого монстра Халка. Находясь в бегах от армии, стремящейся его захватить, Брюс почти находит лекарство, но все старания идут прахом, когда у Халка вдруг появляется новый, невероятно сильный противник.","фантастика, боевик, триллер"
Баба Мороз и тайна Нового года,"Оказывается, у Деда Мороза есть жена, и она исполняет желания взрослых. Но те перестали верить в чудеса, и волшебница превратилась в обычную домохозяйку. Однако в этом году все изменится.","комедия, семейный, приключения"
Простая просьба,"Стефани, мама-блогер из маленького городка, оказывает подруге простую услугу, после чего та бесследно исчезает… Вместе с Шоном, мужем пропавшей, Стефани должна докопаться до истины. Отныне их жизни полны тайн и предательств, любви и верности, убийств и мести.","триллер, комедия, криминал, детектив"
Спеши любить,"Лэндон Картер - кумир своей школы: он независим, красив и жесток к изгоям. И конечно, он не замечает невзрачную Джейми, думающую только об учебе. После очередной дурацкой выходки Картера заставляют заниматься с отстающими и играть в школьном спектакле.

Тут уж ему не обойтись без помощи скромной отличницы. Джейми соглашается помочь Лэндону, но только если он пообещает, что не будет влюбляться в неё. Самонадеянный парень охотно дает клятву, но вскоре он убедится, что сдержать её будет очень непросто...","драма, мелодрама"
Ёлки,"Новогодние события происходят в 11 городах: Калининграде, Казани, Перми, Уфе, Бавлах, Екатеринбурге, Красноярске, Якутске, Новосибирске, Санкт-Петербурге и Москве. Герои фильма — таксист и поп-дива, бизнесмен и актер, сноубордист и лыжник, студент и пенсионерка, пожарный и директриса, вор и милиционер, гастарбайтер и президент России. Все они оказываются в самый канун Нового года в очень непростой ситуации, выйти из которой им поможет только чудо… или Теория шести рукопожатий, согласно которой каждый человек на земле знает другого через шесть знакомых.",комедия
Подмена,"Действие картины развивается в Лос-Анджелесе 20-х годов прошлого столетия. Обратившись в полицию с заявлением об исчезновении ребенка, главная героиня вскоре получает своего сына, но сообщает полицейским, что, несмотря на внешнее сходство, это не ее сын. Вместо помощи несчастная мать получает прописку в палате клиники для сумасшедших...","триллер, драма, криминал, детектив, биография, история"
"Гангстер, коп и дьявол","2005 год. Криминальный босс провинциального города Чхонан Чан Дон-су подвергается нападению серийного убийцы и оказывается единственной выжившей жертвой. Репутация подмочена, единственный способ восстановить авторитет в глазах братвы — найти нападавшего и отомстить. Местный детектив Чон Тхэ-сок всей своей полицейской душой ненавидит организованную преступность, но ему приходится объединить силы с бандитом Дон-су, чтобы изловить ещё более ненавистного маньяка.","триллер, боевик, криминал, детектив"
Последний самурай,"Действие разворачивается в Японии 70-ых годов девятнадцатого века. Капитан Нейтон Альгрен, уважаемый американский военный офицер, нанят Императором Японии для обучения первой армии Страны Восходящего Солнца современному искусству ведения боевых действий.

Император пытается искоренить древних воинов-самураев, готовясь к более прозападной политике правительства…","боевик, драма"
Евротур,"Выпускнику школы Скотту Томасу нужна помощь в изучении немецкого языка, поэтому он знакомится с жителем Германии по имени Майк и начинает с ним дружескую переписку. Причём Скотт абсолютно уверен, что Майк — это парень, и делится с ним своими переживаниями и проблемами, которые возникают у него с девушкой. Но в конце концов Скотт узнаёт, что Майк, точнее Мике — это обворожительная блондинка, которой Скотт очень понравился. И теперь он сделает всё, чтобы увидеться с Мике, даже совершит путешествие по Европе.",комедия
Морской бой,"Мы посылаем сигналы в космос и ждем ответа. Но уверены ли мы, что хотим его получить? Что если пришельцы потенциально опасны?   В 2009 году на конференции в Вашингтоне астронавт Эдгар Митчелл, побывавший на Луне, сделал сенсационное заявление о существовании внеземной жизни.  Теперь мы знаем, контакт не просто возможен, он неизбежен!","фантастика, боевик, триллер, приключения"
Стартрек: Возмездие,"Вернувшись на Землю, команда корабля «Энтерпрайз» обнаруживает, что деятельность и принципы их организации подорваны изнутри. Флот скован необъяснимым ужасом и бездействует, пока мир все глубже погружается в бездну.

Капитан Кирк берет на себя руководство операцией по поимке злодея, ответственного за этот хаос и способного уничтожить все человечество.

В запутанной игре не на жизнь, а на смерть, любовь и дружба будут принесены в жертву ради единственного, что осталось у Кирка - его команды.","фантастика, боевик, приключения"
